filename,w,h,uses,pages,what,status,url
EoW_Gibdo_Model_2.png,736,924,1,200,Gibdo,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/EoW_Gibdo_Model_2.png
EoW_Peahat_Model_2.png,1900,2100,1,216,Peahat,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/EoW_Peahat_Model_2.png
EoW_ReDead_Model_2.png,842,911,1,217,ReDead,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/EoW_ReDead_Model_2.png
EoW_Tektite_Model_2.png,2200,2100,1,219,Tektite,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/EoW_Tektite_Model_2.png
EuPxq9o.jpeg,1920,1080,1,1,Front cover,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/EuPxq9o.jpeg
GiKZX1r.png,545,659,1,21,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/GiKZX1r.png
HWAoC_Monk_Maz_Koshia_Artwork.webp,1000,1128,1,90,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/HWAoC_Monk_Maz_Koshia_Artwork.webp
HWAoC_Sooga_Artwork.png,785,1294,1,313,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/HWAoC_Sooga_Artwork.png
HWDE_Yuga_Artwork.webp,717,953,1,72,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/HWDE_Yuga_Artwork.webp
HYGjSel.png,800,575,1,225,King Dodongo,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/HYGjSel.png
I0trD6o.png,541,632,1,32,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/I0trD6o.png
Impa_Great_Sword.webp,1972,1876,1,42,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/Impa_Great_Sword.webp
Jlrk6rP.png,1200,2100,1,266,The Master Sword,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/Jlrk6rP.png
JxdBzRp.png,800,1521,1,30,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/JxdBzRp.png
JyOYvNH.png,925,1004,1,54,Blightbound,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/JyOYvNH.png
KBIAFj4.png,520,600,1,175,Blue Bokoblin,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/KBIAFj4.png
KDT1jkV.png,904,1502,1,188,Great Beamos,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/KDT1jkV.png
KNqxBYH.png,642,599,1,175,Blue Bokoblin,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/KNqxBYH.png
KPqIn2U.png,640,597,1,174,Red Bokoblin,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/KPqIn2U.png
Link_has_a_pumpkin_to_climb_-_BOTW_art.jpg,1920,1080,1,40,Temperature,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/Link_has_a_pumpkin_to_climb_-_BOTW_art.jpg
LyG6SdT.png,1600,500,1,1,Front cover,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/LyG6SdT.png
MFqB272.png,988,525,1,25,Hylian,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/MFqB272.png
MM3D_Deku_Scrub_Model_4.png,525,553,1,198,Deku Scrub,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/MM3D_Deku_Scrub_Model_4.png
MM_White_Wolfos_Model_3.png,336,461,1,220,Wolfos,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/MM_White_Wolfos_Model_3.png
NMuksuF.png,1000,2786,1,27,Kokiri,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/NMuksuF.png
NePgY5R.png,600,600,1,270,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/NePgY5R.png
